Hotel Name,City,Amenities,Price (EGP),Rating
Ritz-Carlton Cairo,Cairo,"Business Center, Air Conditioning, 24-hour Front Desk, Beach Access, Room Service, Airport Transfer, Conference Facilities, Parking, Fitness Center, Concierge",3258,4.8
Four Seasons Nile Plaza,Cairo,"Parking, Conference Facilities, Fitness Center, Pool, Beach Access, Air Conditioning, Airport Transfer, Business Center, 24-hour Front Desk, Breakfast Included, Bar/Lounge, Concierge",2413,4.3
Marriott Mena House,Cairo,"Terrace/Balcony, Air Conditioning, Pool, Business Center, Room Service, Restaurant, Spa, Concierge, Beach Access, Airport Transfer",3943,4.2
Fairmont Nile City,Cairo,"Restaurant, Concierge, Parking, Breakfast Included, Spa, 24-hour Front Desk, Terrace/Balcony, Business Center, Beach Access, Bar/Lounge",2240,4.4
Kempinski Nile Hotel,Cairo,"Parking, Business Center, 24-hour Front Desk, Room Service, Spa, Pool, Terrace/Balcony, Conference Facilities, Bar/Lounge, Concierge",2528,4.2
Sofitel Cairo Nile El Gezirah,Cairo,"Fitness Center, Breakfast Included, Beach Access, Airport Transfer, Business Center, 24-hour Front Desk, Spa, Conference Facilities, Restaurant, Air Conditioning, Bar/Lounge, Parking",2288,4.1
InterContinental Cairo Semiramis,Cairo,"Bar/Lounge, Business Center, Pool, Terrace/Balcony, 24-hour Front Desk, Airport Transfer, Beach Access, Spa, Restaurant, Room Service, Parking, Concierge",4981,4.4
Conrad Cairo,Cairo,"24-hour Front Desk, Room Service, Conference Facilities, Restaurant, Airport Transfer, Bar/Lounge, Business Center, Breakfast Included, Pool, Fitness Center, Spa",2892,4.2
St. Regis Cairo,Cairo,"Conference Facilities, Airport Transfer, Terrace/Balcony, Bar/Lounge, Business Center, Beach Access, Restaurant, Breakfast Included, Air Conditioning, Spa",2647,4.6
Dusit Thani LakeView,Cairo,"Concierge, Room Service, Bar/Lounge, Terrace/Balcony, 24-hour Front Desk, Business Center, Restaurant, Fitness Center, Pool, Breakfast Included, Conference Facilities, Spa",4931,4.8
Le Meridien Pyramids,Giza,"Air Conditioning, Breakfast Included, 24-hour Front Desk, Conference Facilities, Business Center, Fitness Center, Airport Transfer, Beach Access, Pool, Restaurant",1638,4.6
Steigenberger Pyramids,Giza,"Fitness Center, Bar/Lounge, Free WiFi, Pool, 24-hour Front Desk, Breakfast Included, Air Conditioning",635,4.5
Pyramids View Inn,Giza,"Pool, Breakfast Included, Free WiFi",327,3.6
Hayat Pyramids View,Giza,"24-hour Front Desk, Parking, Pool",359,3.5
Panorama Pyramids Inn,Giza,"Parking, Pool, 24-hour Front Desk",417,3.4
Cataract Pyramids Resort,Giza,"Airport Transfer, Breakfast Included, Air Conditioning, Fitness Center, Free WiFi, Bar/Lounge",1353,3.6
Guardian Guest House,Giza,"Air Conditioning, Breakfast Included, Parking, 24-hour Front Desk",425,3.9
Great Pyramid Inn,Giza,"Pool, Free WiFi, 24-hour Front Desk",445,3.4
M̦venpick Cairo Media City,Giza,"Terrace/Balcony, Breakfast Included, Bar/Lounge, Free WiFi, Pool, Airport Transfer, Fitness Center",941,3.9
Swiss Inn Pyramids Golf,Giza,"Bar/Lounge, Air Conditioning, Parking, Fitness Center, Free WiFi, Restaurant, Terrace/Balcony, Pool",746,4.2
Hilton Luxor Resort,Luxor,"Air Conditioning, Conference Facilities, 24-hour Front Desk, Restaurant, Pool, Spa, Beach Access, Room Service, Parking, Airport Transfer, Terrace/Balcony",2403,4.1
Sofitel Winter Palace,Luxor,"Parking, Restaurant, Fitness Center, Pool, Business Center, Spa, Beach Access, Air Conditioning, 24-hour Front Desk, Conference Facilities, Room Service, Concierge",4677,4.1
Steigenberger Nile Palace,Luxor,"Fitness Center, Parking, 24-hour Front Desk, Pool, Restaurant, Free WiFi, Bar/Lounge, Air Conditioning",1080,4.3
Pavillon Winter Luxor,Luxor,"Pool, 24-hour Front Desk, Free WiFi",267,3.7
Jolie Ville Kings Island,Luxor,"Air Conditioning, Breakfast Included, Pool",316,3.7
Sonesta St. George,Luxor,"Parking, Fitness Center, Breakfast Included, Restaurant, Airport Transfer, Pool, Free WiFi, Terrace/Balcony",1046,3.7
Achti Resort Luxor,Luxor,"Breakfast Included, Airport Transfer, Free WiFi, Terrace/Balcony, Air Conditioning, 24-hour Front Desk",652,4.1
Iberotel Luxor,Luxor,"Free WiFi, Bar/Lounge, Pool, Restaurant, 24-hour Front Desk, Air Conditioning, Fitness Center",1336,4.1
Nefertiti Hotel,Luxor,"24-hour Front Desk, Breakfast Included, Free WiFi",202,3.3
Aracan Eatabe Luxor Hotel,Luxor,"Parking, Pool, Breakfast Included, Bar/Lounge, Terrace/Balcony, Airport Transfer, Air Conditioning, Restaurant",1427,3.9
Sofitel Legend Old Cataract,Aswan,"Business Center, Beach Access, Terrace/Balcony, Breakfast Included, Room Service, Spa, Concierge, Fitness Center, Conference Facilities, Bar/Lounge, 24-hour Front Desk",2388,4.1
Movenpick Resort Aswan,Aswan,"24-hour Front Desk, Parking, Pool, Free WiFi, Restaurant, Bar/Lounge, Fitness Center",1008,4.4
Basma Hotel Aswan,Aswan,"Parking, Breakfast Included, Air Conditioning, 24-hour Front Desk",374,3.1
Helnan Aswan,Aswan,"Parking, Fitness Center, Air Conditioning, 24-hour Front Desk, Breakfast Included, Pool",1410,3.9
Obelisk Nile Hotel,Aswan,"Airport Transfer, Fitness Center, Restaurant, Bar/Lounge, Pool, Breakfast Included",515,3.8
Citymax Hotel Aswan,Aswan,"Free WiFi, Terrace/Balcony, Air Conditioning, Breakfast Included, Bar/Lounge, 24-hour Front Desk, Pool",1427,3.7
Pyramisa Isis Island Aswan,Aswan,"Free WiFi, Fitness Center, Airport Transfer, Air Conditioning, Terrace/Balcony, Breakfast Included, Parking, Bar/Lounge",620,4.2
Nile Hotel Aswan,Aswan,"Parking, Free WiFi, Pool",202,3.3
Keylany Hotel,Aswan,"Parking, Breakfast Included, 24-hour Front Desk",443,3.6
Hapi Hotel Aswan,Aswan,"Free WiFi, Parking, Breakfast Included, Pool",475,4
Savoy Sharm El Sheikh,Sharm El Sheikh,"Pool, Breakfast Included, Air Conditioning, Free WiFi",438,3.7
Rixos Sharm El Sheikh,Sharm El Sheikh,"Breakfast Included, Air Conditioning, Parking",293,3.2
Baron Resort,Sharm El Sheikh,"24-hour Front Desk, Free WiFi, Restaurant, Airport Transfer, Air Conditioning, Fitness Center",784,3.9
Four Seasons Resort,Sharm El Sheikh,"Bar/Lounge, Air Conditioning, Conference Facilities, Pool, Business Center, Airport Transfer, Parking, Spa, Room Service, Terrace/Balcony, Beach Access",4108,4.7
Sunrise Arabian Beach,Sharm El Sheikh,"Restaurant, Fitness Center, Breakfast Included, 24-hour Front Desk, Pool, Terrace/Balcony, Air Conditioning, Airport Transfer",1230,3.9
Grand Rotana Resort,Sharm El Sheikh,"Breakfast Included, Spa, 24-hour Front Desk, Business Center, Parking, Pool, Air Conditioning, Concierge, Beach Access, Room Service, Restaurant",4771,4.4
Jolie Ville Golf & Resort,Sharm El Sheikh,"24-hour Front Desk, Pool, Bar/Lounge, Airport Transfer, Fitness Center, Free WiFi, Breakfast Included, Parking",1008,3.6
Sierra Hotel,Sharm El Sheikh,"Parking, Free WiFi, 24-hour Front Desk",359,3.4
Monte Carlo Sharm,Sharm El Sheikh,"Pool, 24-hour Front Desk, Parking, Air Conditioning",388,3.7
Royal Savoy Sharm,Sharm El Sheikh,"Free WiFi, Air Conditioning, 24-hour Front Desk, Parking",397,3.2
Steigenberger Al Dau,Hurghada,"Free WiFi, Restaurant, Terrace/Balcony, Breakfast Included, 24-hour Front Desk, Pool, Bar/Lounge, Parking",575,3.8
