ID,Attraction,Location,City,Best time to visit,Type,Description,Rating,image_urls,Best hour to visit,Entry fee,Distance from Cairo (km)
1,Abu Abbas al-Mursi Mosque,"https://www.google.com/maps/search/?api=1&query=Abu+Abbas+al-Mursi+Mosque,+Alexandria",Alexandria,September to November,Religious Site,"One of Alexandria's most stunning mosques, featuring intricate Islamic architecture, grand domes, and detailed geometric decorations.",4.1,https://drive.google.com/uc?export=download&id=1N73mNjkeBjZBzlClrp3IOMvQ6Q_O0vQ7;https://drive.google.com/uc?export=download&id=1MQzoisVv0qsw6U26wrL7gr7Df2tEk2zb;https://drive.google.com/uc?export=download&id=1qP7d3s1GzSMPda-14tVguOGn9E2L09gR,Morning (8 AM to 12 PM) or Evening (5 PM to 8 PM),0 EGP,220
2,Alexandria Aquarium,"https://www.google.com/maps/search/?api=1&query=Alexandria+Aquarium,+Alexandria",Alexandria,September to November,Entertainment,"An educational marine exhibit showcasing a variety of Mediterranean sea creatures, providing a fascinating underwater experience.",4.9,https://drive.google.com/uc?export=download&id=1G6SPRBJotp8visGuga223rFoItnecKLy;https://drive.google.com/uc?export=download&id=1DXFH1xCwecuTAsPzO76pkhb4y7-AAREP;https://drive.google.com/uc?export=download&id=1rpGiteEYvb3YszKP5kiRhn4dbAU9Ofmr;https://drive.google.com/uc?export=download&id=1fSkuVu9Z0pjRZp2aXMAOSWGCvS7JwcJN,Evening (7 PM to 11 PM) for live shows and nightlife,20 EGP,220
3,Alexandria National Museum,"https://www.google.com/maps/search/?api=1&query=Alexandria+National+Museum,+Alexandria",Alexandria,September to November, Historical ,"A historical museum housed in a former Italian palace, displaying artifacts spanning Egypt's Pharaonic, Greco-Roman, and modern periods.",4.6,https://drive.google.com/uc?export=download&id=1xQbqv43V6tOnH3D4anQG3IxKeWQRXmX1;https://drive.google.com/uc?export=download&id=1-pElfuEKSIodXu5Uab1H6zpd7fSpBPvA;https://drive.google.com/uc?export=download&id=1iNVtggOoQOnYpZjSSLWkk9gFJvHipbhs,Morning (9 AM to 12 PM) or Late Afternoon (4 PM to 7 PM),180 EGP,220
4,Antoniades Garden,"https://www.google.com/maps/search/?api=1&query=Antoniades+Garden,+Alexandria",Alexandria,September to November,Nature Escape,"A historic garden with lush greenery, classical statues, and elegant fountains, offering a peaceful retreat in Alexandria.",4.4,https://drive.google.com/uc?export=download&id=1n-ovgXzJVwjDrjgIIkxjm_3K6OjqCDjI;https://drive.google.com/uc?export=download&id=1iM1vHzCOs0gaX579-4m89_U6WBc7A5Dq;https://drive.google.com/uc?export=download&id=18Dzhd_DitJ41bdWZwlqnNjBOu7C3xCuP;https://drive.google.com/uc?export=download&id=1M7-qNZDdeGLWmMBZFtsAim-62xVGSGSa,Morning (8 AM to 12 PM) or Evening (5 PM to 8 PM),40 EGP,220
5,Bibliotheca Alexandrina,"https://www.google.com/maps/search/?api=1&query=Bibliotheca+Alexandrina,+Alexandria",Alexandria,September to November,Cultural Center,"A modern revival of the ancient Library of Alexandria, featuring millions of books, cultural exhibitions, and advanced research facilities.",3.7,https://drive.google.com/uc?export=download&id=1KfGVZ5nn8xRSAHQoJB2jSsGzr6bJJdaj;https://drive.google.com/uc?export=download&id=1QynEM16tCBNczhhwgLCERyZ5pYYX0wmt;https://drive.google.com/uc?export=download&id=1FCQPHoicRLvJ87PONs5u3up5Q41mdarp;https://drive.google.com/uc?export=download&id=1qwDFApDoVkiFLyZGGdvN6g6up7r7RK6v;https://drive.google.com/uc?export=download&id=1-cYQCP7A-yMvy_erMgmK4KuKpCJZ9Zns,Morning (8 AM to 12 PM) or Evening (5 PM to 8 PM),150 EGP,220
6,Catacombs of Kom El Shoqafa,"https://www.google.com/maps/search/?api=1&query=Catacombs+of+Kom+El+Shoqafa,+Alexandria",Alexandria,September to November,Historical,"An ancient underground burial site blending Egyptian, Greek, and Roman architectural elements, known for its mysterious tombs and corridors.",3.7,https://drive.google.com/uc?export=download&id=1IrW5P2sc4E6W1Dyi9SsPTPYj9gRuckMP;https://drive.google.com/uc?export=download&id=1SrC3LYbegmdlKqLObWwboNEGxhsaz8Va;https://drive.google.com/uc?export=download&id=1rdFpdSb67wjrLoyyNYHg_UIcyJ8dq-CF,Morning (8 AM to 12 PM) or Evening (5 PM to 8 PM),200 EGP,220
7,Corniche,"https://www.google.com/maps/search/?api=1&query=Corniche,+Alexandria",Alexandria,September to November,Scenic waterfront road,"A scenic waterfront promenade along the Mediterranean, lined with cafes, restaurants, and breathtaking sea views.",3.6,https://drive.google.com/uc?export=download&id=11b_Dfo1shRNu6gQkYZPEDWbJxGcr4EMq;https://drive.google.com/uc?export=download&id=19mlsnIRu3iLG061qz0EPPs2gBEecn-0q;https://drive.google.com/uc?export=download&id=1j8EEbj4jWlTvAZgDlmdyIk5iE2dZEAbZ;https://drive.google.com/uc?export=download&id=1JZZRu6oKTOJ5DkRwHz3VxWtOfVYs4bx1;https://drive.google.com/uc?export=download&id=1GUSZDYLXLSI3Cge7MFQrQmCTDHnjwqex;https://drive.google.com/uc?export=download&id=1Or8FwxWK8yxmw0VjeBvQr6RSzRn5qEd9;https://drive.google.com/uc?export=download&id=1s_aCoyZV8sLFzIIq3IYTAU7lq-HPfQCG;https://drive.google.com/uc?export=download&id=1NOkYG2FhSq5eEUlhNgcuWpPh76_KIVGY;https://drive.google.com/uc?export=download&id=1EPU7oRyV1jixghxrFBlFoVvLYpqGZeCt;https://drive.google.com/uc?export=download&id=16bDTV5UJr3BpV8uaFBTvxWmrzaTl5FhG;https://drive.google.com/uc?export=download&id=1L3571dNPlBZgXBvXflZ0enQ7XGFGxTjS;https://drive.google.com/uc?export=download&id=1s2D54ko-5ObPn9xLkKDs67rLUAhEWNR3;https://drive.google.com/uc?export=download&id=1GCaN6TMBlnuQ9WcNd-LdzsaCtAGa06Qz;https://drive.google.com/uc?export=download&id=1t_kmy_ADgyWjzIDNYKyV-ManAF5afzM4;https://drive.google.com/uc?export=download&id=17wvteCJsr8OdWky4N_xFL4GQeyTf3VCD;https://drive.google.com/uc?export=download&id=17jJHQY-yt9TMX1j0ackSsXasm-P1Ghs2;https://drive.google.com/uc?export=download&id=1G39jCLAUl4hD2R_5jr4imIhz8J2tx-Fd;https://drive.google.com/uc?export=download&id=1VMgw8WZN4kq2J5cbxx9Zlhjrdef_2YSl;https://drive.google.com/uc?export=download&id=1OzkjKNB8eXzartEOfa-nT9HJq5MGlE-P;https://drive.google.com/uc?export=download&id=1vNZuPciri1NBXarjlJJiR9-gFU-uejlc;https://drive.google.com/uc?export=download&id=1yZ8zixCvY_WANENrG412CEQFOew-TeU1;https://drive.google.com/uc?export=download&id=1C1yq526qaoZFJxZKcyUOKvaVomkZnZ2o;https://drive.google.com/uc?export=download&id=1LofBo96icP48oHJQEYKsYffqqeB61tSX;https://drive.google.com/uc?export=download&id=1iMbfmJgmeFU8oyJs_QGV2nQF4uAdVFfQ;https://drive.google.com/uc?export=download&id=1lKNGN5xCSDUOBGKEUi9eL_pl1FPbowiu;https://drive.google.com/uc?export=download&id=1g2_LK-eAEc9IeBSt_CNCubx9S4Z0bSKY,Evening (5 PM to 8 PM),0 EGP,220
8,El Alamein War Museum,"https://www.google.com/maps/search/?api=1&query=El+Alamein+War+Museum,+Alexandria",Alexandria,September to November,Historical,"A museum commemorating the pivotal World War II battle, featuring military artifacts, historical exhibits, and war memorials.",4.8,https://drive.google.com/uc?export=download&id=1AqVVYNYkQEQ3Lm8hB12CXbz8qHpS4JZH;https://drive.google.com/uc?export=download&id=1X7u-pwwlx7S_jGLiFJlUbH8XWDKZ-hzH,Morning (9 AM to 12 PM) or Late Afternoon (4 PM to 7 PM),100EGP,220
9,Greco-Roman Museum,"https://www.google.com/maps/search/?api=1&query=Greco-Roman+Museum,+Alexandria",Alexandria,September to November,Historical,"An archaeological museum displaying an extensive collection of Greco-Roman artifacts, including statues, mosaics, and coins from Alexandria's rich history.",4.4,https://drive.google.com/uc?export=download&id=1rjKE62AxqGmV99UCiqHLTnbzNWa_8p0_;https://drive.google.com/uc?export=download&id=1IzE-HauM23_j1yVMsoYrpCZQKSAeRIa8;https://drive.google.com/uc?export=download&id=1JR_qmfDG3IBXYRUU0Rc-yQQKqGz6y3LM;https://drive.google.com/uc?export=download&id=1CtJs2PgWhi91_iZKZ7jeK8tyvsPPPCGh;https://drive.google.com/uc?export=download&id=14sLbDSlUw_zOpbz4k9FuiQpaHKgqFayJ,Morning (9 AM to 12 PM) or Late Afternoon (4 PM to 7 PM),200EGP,220
10,Montaza Palace,"https://www.google.com/maps/search/?api=1&query=Montaza+Palace,+Alexandria",Alexandria,September to November,Historical Landmark,"A royal palace surrounded by vast gardens overlooking the sea, blending European and Islamic architectural styles.",4.6,https://drive.google.com/uc?export=download&id=1ZJO4MZ34r2GLsXaEWzssTY7NI1ECEZAr;https://drive.google.com/uc?export=download&id=13SYdRqsuoFRfuXavXZmq-sP8qQHoUF9D;https://drive.google.com/uc?export=download&id=1qdOYP-KemldmPAzOUL_gJvJ7Jg19Av3d;https://drive.google.com/uc?export=download&id=1lrHtYLSMU-uIw1M4CRgkAPFeDXb-WuPr,Morning (8 AM to 12 PM) or Evening (5 PM to 8 PM),400 EGP,220
11,Pompey's Pillar,"https://www.google.com/maps/search/?api=1&query=Pompey's+Pillar,+Alexandria",Alexandria,September to November,Historical,"A towering red granite column from the Roman era, standing as one of Alexandria's most iconic ancient landmarks.",3.5,https://drive.google.com/uc?export=download&id=1XDYviWpp9kzfDj6yzFFMavdvUV-x69N-;https://drive.google.com/uc?export=download&id=1rIXTIumUBeMBMyMYXEpoDMOt0EWHwJ9u,Morning (8 AM to 12 PM) or Evening (5 PM to 8 PM),80 EGP,220
12,Qaitbay Citadel,"https://www.google.com/maps/search/?api=1&query=Qaitbay+Citadel,+Alexandria",Alexandria,September to November,Historical ,"A historic fortress built on the ruins of the Lighthouse of Alexandria, offering panoramic views of the Mediterranean.",5,https://drive.google.com/uc?export=download&id=1mqT-EFpWnGfGHeoQ0tDOMvjps_FQ1r8o;https://drive.google.com/uc?export=download&id=167wa2ZBZGeSvvv21sON3ipZfRlT9VI2A;https://drive.google.com/uc?export=download&id=1liMcU6klUUq8OwIos0GOiYum-iaxym4e;https://drive.google.com/uc?export=download&id=1KzYJC8fGyZGnsGHPstpB4bptmh-dpiBN;https://drive.google.com/uc?export=download&id=1f_wmSMZwC3W9qAW5CQ8oYmqC1VLcd9Dv,Morning (8 AM to 12 PM) or Evening (5 PM to 8 PM),200EGP,220
13,Ras El Tin Palace,"https://www.google.com/maps/search/?api=1&query=Ras+El+Tin+Palace,+Alexandria",Alexandria,September to November,Historical Landmark,"One of Egypt oldest royal palaces, once a summer residence for the monarchy, featuring grand architecture and lush gardens.",4.7,https://drive.google.com/uc?export=download&id=19O4Me85rkp91ECg23tT_yOTHK9CYj2Ic;https://drive.google.com/uc?export=download&id=1RD22FOe0LW16VjD3N7DxkWtKeK7pV9Vx;https://drive.google.com/uc?export=download&id=1O16Q2DKrR3pS5Hb9FlYg5OXnZv8IhXa7,Morning (8 AM to 12 PM) or Evening (5 PM to 8 PM),250EGP,220
14,Roman Amphitheatre,"https://www.google.com/maps/search/?api=1&query=Roman+Amphitheatre,+Alexandria",Alexandria,September to November,Performance venue,"A well-preserved Roman theater in the heart of Alexandria, used for performances and gatherings in ancient times.",3.8,https://drive.google.com/uc?export=download&id=1gGTXJxoVR7oLED2Krl-kFGUgnza7pL7x;https://drive.google.com/uc?export=download&id=14N3Z54VJ517vSeZ5C3bDGVfgYRNt1O8k;https://drive.google.com/uc?export=download&id=1C9bP0WbJ3Epyb3lv7dogEL75A4M2Vy2A;https://drive.google.com/uc?export=download&id=1yqIRjfvIzmeulQrBdwANlAC5j1WpLD5M,Morning (8 AM to12 PM) or Evening (5 PM to 8 PM),200 EGP,220
15,Royal Jewelry Museum,"https://www.google.com/maps/search/?api=1&query=Royal+Jewelry+Museum,+Alexandria",Alexandria,September to November,Historical,"A museum showcasing the lavish jewelry collection of Egypt royal family, including diamond-encrusted crowns and golden artifacts.",3.8,https://drive.google.com/uc?export=download&id=1mcjfj-20kFxBzKTSQPKvpOQnnWlCNrCq;https://drive.google.com/uc?export=download&id=1AunN6he2NbrcfBXEyNScyNp8ZednXtll;https://drive.google.com/uc?export=download&id=1WxqT4VvNla-cbEBRNjaXsq1bs0adBfE-;https://drive.google.com/uc?export=download&id=1CIBQm7syKc0rxkem9eeKwisAwJ146FrW;https://drive.google.com/uc?export=download&id=1SOvoGoco7ML75C2OGI65ahS8wy2UezPq,Morning (9 AM to 12 PM) or Late Afternoon (4 PM to 7 PM),100 EGP,220
17,Stanley Bridge,"https://www.google.com/maps/search/?api=1&query=Stanley+Bridge,+Alexandria",Alexandria,September to November,Architectural Marvel,"A beautifully designed bridge extending over the Mediterranean, offering stunning sea views and a popular spot for photography.",4,https://drive.google.com/uc?export=download&id=1dVdy-Dsp7ect4GGm_k3WTM-hwPRE2OpC;https://drive.google.com/uc?export=download&id=1gReJMOBpLz-dTtAZrHZpBFDvMO5y7F5s;https://drive.google.com/uc?export=download&id=13qHZ7DjigB1EtFdOIBpeM9aYYFZ0Nw2N;https://drive.google.com/uc?export=download&id=1qwNhjokf8iI45MKj4Suj0lHVK_e6JUlM,Morning (8 AM to 12 PM) or Evening (5 PM to 8 PM),0 EGP,220
