Restaurant ID,Name,Cuisine Type,Specialty Dishes,Price Range,Dietary Options,User Rating,Reviews,Google Maps Link,City
1,Zooba,Street food,"Koshari, Taameya",Affordable,"Halal, Vegan",4.5,Very authentic and affordable street food,https://www.google.com/maps/search/?api=1&query=Zooba,Cairo
2,Abou El Sid,Fine dining,"Molokhia, Fattah",Mid-range,Halal,4.2,Great ambiance and traditional Egyptian taste,https://www.google.com/maps/search/?api=1&query=Abou+El+Sid,Cairo
3,Fish Market,Seafood,"Grilled shrimp, Sayadiya rice",Luxury,Halal,4.3,Fresh seafood with Nile view,https://www.google.com/maps/search/?api=1&query=Fish+Market,Cairo
4,Kazouza,Street food,"Shawarma, Hawawshi",Affordable,Halal,4,Popular Egyptian fast food spot,https://www.google.com/maps/search/?api=1&query=Kazouza,Cairo
5,Sequoia,Mediterranean,"Mezze, Grilled meats",Luxury,"Halal, Vegetarian",4.4,Great view and ambiance on the Nile,https://www.google.com/maps/search/?api=1&query=Sequoia,Cairo
6,Taboula,Lebanese,"Kebbeh, Tabbouleh",Mid-range,"Halal, Vegetarian",4.6,Cozy place with authentic Lebanese cuisine,https://www.google.com/maps/search/?api=1&query=Taboula,Cairo
7,Koshary Abou Tarek,Street food,Koshari,Affordable,"Halal, Vegan",4.5,Legendary koshary spot,https://www.google.com/maps/search/?api=1&query=Koshary+Abou+Tarek,Cairo
8,Carlo’s,International,"Steak, Pasta",Luxury,Halal,4.3,Classy place with a variety of cuisines,https://www.google.com/maps/search/?api=1&query=Carlo’s,Cairo
9,Baladina,Egyptian traditional,"Stuffed pigeons, Fattah",Mid-range,Halal,4.1,Home-style Egyptian cooking,https://www.google.com/maps/search/?api=1&query=Baladina,Cairo
10,Nişantaşi,Turkish,"Kebab, Baklava",Mid-range,Halal,4.2,Chic spot for Turkish food lovers,https://www.google.com/maps/search/?api=1&query=Nişantaşi,Cairo
11,Sachi,"Japanese, International","Sushi, Wagyu sliders",Luxury,"Halal, Gluten-free",4.7,Award-winning fine dining experience,https://www.google.com/maps/search/?api=1&query=Sachi,Cairo
12,Maison Thomas,Italian,"Pizza, Pasta",Mid-range,"Halal, Vegetarian",4.3,Classic pizzeria with long history,https://www.google.com/maps/search/?api=1&query=Maison+Thomas,Cairo
13,Tamara,Lebanese,"Grilled meats, Hummus",Mid-range,"Halal, Vegan",4.4,Modern Lebanese cuisine with a twist,https://www.google.com/maps/search/?api=1&query=Tamara,Cairo
14,The Smokery,International,"Smoked salmon, Beef tartare",Luxury,"Halal, Gluten-free",4.6,Upscale dining with a view,https://www.google.com/maps/search/?api=1&query=The+Smokery,Cairo
15,Felfela,Egyptian traditional,"Foul, Taameya, Kebab",Affordable,"Halal, Vegetarian",4.1,Authentic Egyptian food in downtown Cairo,https://www.google.com/maps/search/?api=1&query=Felfela,Cairo
16,Left Bank,"Cafe, Mediterranean","Quiche, Salads",Mid-range,"Vegetarian, Gluten-free",4.2,Trendy spot with Nile view,https://www.google.com/maps/search/?api=1&query=Left+Bank,Cairo
17,Crave,International,"Sliders, Chicken Parmesan",Mid-range,Halal,4.3,Tasty and consistent quality,https://www.google.com/maps/search/?api=1&query=Crave,Cairo
18,Pier 88,"Italian, Seafood","Risotto, Seafood platter",Luxury,Halal,4.5,Trendy hotspot with live music,https://www.google.com/maps/search/?api=1&query=Pier+88,Cairo
19,Maharaja,Indian,"Butter Chicken, Biryani",Mid-range,"Halal, Vegetarian",4,Delicious Indian dishes in a cozy setting,https://www.google.com/maps/search/?api=1&query=Maharaja,Cairo
20,O's Pasta,Italian,"Pasta Alfredo, Lasagna",Affordable,Vegetarian,4.4,Homemade pasta with rich flavors,https://www.google.com/maps/search/?api=1&query=O's+Pasta,Cairo
21,Zo Italian Restaurant,Italian,"Pizza, Pasta",Mid-range,"Halal, Vegetarian",4.1,Good vibes and fresh ingredients,https://www.google.com/maps/search/?api=1&query=Zo+Italian+Restaurant,Cairo
22,Lucille's,American,"Burgers, Pancakes",Mid-range,Halal,4.3,Top-rated burgers in town,https://www.google.com/maps/search/?api=1&query=Lucille's,Cairo
23,Aroma Lounge,"International, Cafe","Steaks, Desserts",Mid-range,Halal,4.2,Relaxed setting with great variety,https://www.google.com/maps/search/?api=1&query=Aroma+Lounge,Cairo
24,El Tabei El Domyati,Egyptian,"Foul, Falafel",Affordable,Halal,4.6,Authentic Egyptian breakfast in a local setting,https://www.google.com/maps/search/?api=1&query=El+Tabei+El+Domyati,Cairo
25,Sufi Bookstore Cafe,Cafe,"Coffee, Cakes",Affordable,Vegetarian,4.7,Peaceful cafe with books and art,https://www.google.com/maps/search/?api=1&query=Sufi+Bookstore+Cafe,Cairo
26,Khan El Khalili Restaurant,Egyptian,"Grilled meats, Tagines",Mid-range,Halal,4.5,Hidden gem in the heart of old Cairo,https://www.google.com/maps/search/?api=1&query=Khan+El+Khalili+Restaurant,Cairo
27,El Prince,Egyptian,"Kebda, Molokhia",Affordable,Halal,4.3,Crowded but delicious – a must-try!,https://www.google.com/maps/search/?api=1&query=El+Prince,Cairo
28,Buhayrat,Levantine,"Shish Tawook, Hummus",Mid-range,Halal,4.4,Tucked-away gem with a Levantine flair,https://www.google.com/maps/search/?api=1&query=Buhayrat,Cairo
29,Zo Restaurant,Fusion,"Duck rolls, Mango salad",Mid-range,"Halal, Vegetarian",4.5,Modern twist on classics in a cozy spot,https://www.google.com/maps/search/?api=1&query=Zo+Restaurant,Cairo
30,Ovio Maadi,European,"Pasta, Bruschetta",Luxury,Vegetarian,4.6,Gourmet flavors in a quiet neighborhood,https://www.google.com/maps/search/?api=1&query=Ovio+Maadi,Cairo
31,Kazlak,Middle Eastern,"Mansaf, Kofta",Affordable,Halal,4.2,No-frills gem with authentic flavors,https://www.google.com/maps/search/?api=1&query=Kazlak,Cairo
32,Takosan,Japanese Fusion,"Tacos, Sushi Rolls",Mid-range,"Vegetarian, Halal",4.5,Unique blend of Japanese and Latin,https://www.google.com/maps/search/?api=1&query=Takosan,Cairo
33,Eish + Malh,Italian-Egyptian,"Pizza, Fattah",Mid-range,Vegetarian,4.6,Great spot for fusion and art vibes,https://www.google.com/maps/search/?api=1&query=Eish+++Malh,Cairo
34,Naguib Mahfouz Cafe,Egyptian,"Tagine, Molokhia",Mid-range,Halal,4.7,Historic ambiance in Khan El Khalili,https://www.google.com/maps/search/?api=1&query=Naguib+Mahfouz+Cafe,Cairo
35,Birdcage,Thai,"Green Curry, Tom Yum Soup",Luxury,Halal,4.8,Top-rated Thai cuisine in Cairo,https://www.google.com/maps/search/?api=1&query=Birdcage,Cairo
36,Maison Thomas,Italian,"Pizza, Pasta",Mid-range,Vegetarian,4.6,One of the oldest and most loved pizza places,https://www.google.com/maps/search/?api=1&query=Maison+Thomas,Cairo
37,Andrea Mariouteya,Grill,"Grilled Chicken, Mezzes",Mid-range,Halal,4.6,Iconic place for grilled Egyptian dishes,https://www.google.com/maps/search/?api=1&query=Andrea+Mariouteya,Cairo
38,Crave,International,"Pasta, Steak",Luxury,Vegetarian,4.5,Modern international menu with strong flavors,https://www.google.com/maps/search/?api=1&query=Crave,Cairo
39,Tamara Lebanese Bistro,Lebanese,"Fattoush, Grilled Lamb",Mid-range,Halal,4.5,Stylish Lebanese eatery loved by many,https://www.google.com/maps/search/?api=1&query=Tamara+Lebanese+Bistro,Cairo
40,Left Bank,French Fusion,"Crepes, Duck Breast",Luxury,Vegetarian,4.4,Elegant spot on the Nile with French vibes,https://www.google.com/maps/search/?api=1&query=Left+Bank,Cairo
41,Kazlak Zamalek,Middle Eastern,"Mixed Grill, Kofta",Mid-range,Halal,4.3,Popular local chain with Zamalek charm,https://www.google.com/maps/search/?api=1&query=Kazlak+Zamalek,Cairo
42,Sabaya,Levantine,"Kibbeh, Hummus",Luxury,"Halal, Vegetarian",4.7,Fine Levantine dining at InterContinental,https://www.google.com/maps/search/?api=1&query=Sabaya,Cairo
43,Zooba Zamalek,Street Food,"Koshari, Taameya",Affordable,"Halal, Vegan",4.6,Trendy take on Egyptian classics,https://www.google.com/maps/search/?api=1&query=Zooba+Zamalek,Cairo
44,Mori Sushi,Japanese,"Sushi, Sashimi",Luxury,"Halal, Vegetarian",4.6,Top destination for sushi lovers,https://www.google.com/maps/search/?api=1&query=Mori+Sushi,Cairo
45,Mince,American,"Burgers, Fries",Mid-range,Halal,4.4,Popular burger spot with juicy patties,https://www.google.com/maps/search/?api=1&query=Mince,Cairo
46,Taboula,Lebanese,"Tabbouleh, Grilled Meat",Mid-range,"Halal, Vegetarian",4.7,Authentic Lebanese flavors in a warm setting,https://www.google.com/maps/search/?api=1&query=Taboula,Cairo
47,Fasahet Somaya,Egyptian,"Daily specials, Mahshi",Affordable,Halal,4.8,Tiny hidden gem serving home-cooked meals,https://www.google.com/maps/search/?api=1&query=Fasahet+Somaya,Cairo
48,Osmanly,Turkish,"Kebabs, Baklava",Luxury,Halal,4.6,Elegant Turkish dining experience,https://www.google.com/maps/search/?api=1&query=Osmanly,Cairo
49,Eish wa Malh,Italian-Egyptian,"Risotto, Fattah",Mid-range,Vegetarian,4.5,Fusion flavors and artistic atmosphere,https://www.google.com/maps/search/?api=1&query=Eish+wa+Malh,Cairo
50,Gringo’s,Mexican,"Tacos, Nachos",Mid-range,Halal,4.3,Lively spot with great Mexican bites,https://www.google.com/maps/search/?api=1&query=Gringo’s,Cairo
51,CaiRoma,Italian,"Pasta, Tiramisu",Mid-range,Vegetarian,4.5,Authentic Italian experience in the heart of Cairo,https://www.google.com/maps/search/?api=1&query=CaiRoma,Cairo
52,Gaya,Korean,"Bibimbap, Bulgogi",Mid-range,Halal,4.4,Cozy spot for Korean cuisine lovers,https://www.google.com/maps/search/?api=1&query=Gaya,Cairo
53,Caracas,Venezuelan,"Arepas, Empanadas",Affordable,Vegetarian,4.6,Tasty Latin American flavors in the city,https://www.google.com/maps/search/?api=1&query=Caracas,Cairo
54,Koshary Abou Tarek,Street Food,Koshary,Affordable,"Halal, Vegan",4.7,Legendary koshary spot in downtown Cairo,https://www.google.com/maps/search/?api=1&query=Koshary+Abou+Tarek,Cairo
55,El Zaeem,Street Food,"Shawarma, Fries Sandwich",Affordable,Halal,4.5,A local favorite for quick bites,https://www.google.com/maps/search/?api=1&query=El+Zaeem,Cairo
56,El Dahan Express,Street Food,"Grilled Chicken, Kofta Sandwich",Affordable,Halal,4.4,Delicious street-style grills,https://www.google.com/maps/search/?api=1&query=El+Dahan+Express,Cairo
57,El Malky Sandwiches,Street Food,"Kebda Eskandrany, Sausage",Affordable,Halal,4.2,Tasty and spicy Alexandrian sandwiches,https://www.google.com/maps/search/?api=1&query=El+Malky+Sandwiches,Cairo
58,El Shawerma El Sory,Street Food,Syrian Shawarma,Affordable,Halal,4.5,Top Syrian shawarma joint,https://www.google.com/maps/search/?api=1&query=El+Shawerma+El+Sory,Cairo
59,Abo Haidar,Street Food,"Shawarma, Fries",Affordable,Halal,4.6,Classic street shawarma with cult following,https://www.google.com/maps/search/?api=1&query=Abo+Haidar,Cairo
60,Sobhy Kaber Express,Street Food,"Kofta, Liver Sandwich",Affordable,Halal,4.3,Mini branch of the famous grill master,https://www.google.com/maps/search/?api=1&query=Sobhy+Kaber+Express,Cairo
61,Felfela Takeaway,Street Food,"Taameya, Foul",Affordable,"Halal, Vegan",4.4,Fast Egyptian classics for takeaway,https://www.google.com/maps/search/?api=1&query=Felfela+Takeaway,Cairo
62,El Mo2men Express,Street Food,"Burger, Chicken Fillet",Affordable,Halal,4.2,Popular fast food chain with street outlets,https://www.google.com/maps/search/?api=1&query=El+Mo2men+Express,Cairo
63,3amo Hosny,Street Food,"Grilled Kofta, Sausage",Affordable,Halal,4.3,Grill master with quick service,https://www.google.com/maps/search/?api=1&query=3amo+Hosny,Cairo
64,Balbaa Village,Grill,"Mixed Grill, Kofta",Mid-range,Halal,4.7,Famous for grilled meats and large portions,https://www.google.com/maps/search/?api=1&query=Balbaa+Village,Alexandria
65,Taverna,Mediterranean,"Seafood Platter, Mezzes",Luxury,"Halal, Vegetarian",4.6,Beautiful sea view and fine food,https://www.google.com/maps/search/?api=1&query=Taverna,Alexandria
66,Ibrahim Pastry,Egyptian,Feteer Meshaltet,Affordable,Vegetarian,4.5,Hidden gem for traditional pies,https://www.google.com/maps/search/?api=1&query=Ibrahim+Pastry,Alexandria
67,Hosny,Grill,"Kebda, Kofta",Mid-range,Halal,4.4,Well-known for grilled meats,https://www.google.com/maps/search/?api=1&query=Hosny,Alexandria
68,White and Blue (Greek Club),Greek,"Calamari, Greek Salad",Luxury,"Seafood, Vegetarian",4.7,Iconic restaurant with Mediterranean vibe,https://www.google.com/maps/search/?api=1&query=White+and+Blue+(Greek+Club),Alexandria
69,El Safwa,Seafood,"Grilled Fish, Shrimp",Mid-range,Seafood,4.5,Fresh catch and great prices,https://www.google.com/maps/search/?api=1&query=El+Safwa,Alexandria
70,Sheikh Ali,Traditional,"Mahshi, Kebda",Affordable,Halal,4.6,Home-style Egyptian food,https://www.google.com/maps/search/?api=1&query=Sheikh+Ali,Alexandria
71,Delices,French-Egyptian,"Patisserie, Gratin",Mid-range,Vegetarian,4.5,Historical café with elegant vibes,https://www.google.com/maps/search/?api=1&query=Delices,Alexandria
72,Chez Gaby,Italian,"Pasta, Lasagna",Mid-range,Vegetarian,4.6,Family-run Italian treasure,https://www.google.com/maps/search/?api=1&query=Chez+Gaby,Alexandria
73,Fish Market,Seafood,"Grilled Fish, Calamari",Luxury,Seafood,4.6,Scenic spot for seafood on the corniche,https://www.google.com/maps/search/?api=1&query=Fish+Market,Alexandria
74,Arous El Bahr,Seafood,"Shrimp, Clams",Mid-range,Seafood,4.4,"Affordable, high-quality seafood",https://www.google.com/maps/search/?api=1&query=Arous+El+Bahr,Alexandria
75,La Poire,Cafe,"Croissants, Desserts",Mid-range,Vegetarian,4.3,French-inspired desserts,https://www.google.com/maps/search/?api=1&query=La+Poire,Alexandria
76,Cilantro Alexandria,Cafe,"Coffee, Sandwiches",Affordable,Vegetarian,4.2,Chill café by the sea,https://www.google.com/maps/search/?api=1&query=Cilantro+Alexandria,Alexandria
77,Teatro Eskendria,Fusion,Daily Specials,Mid-range,Halal,4.4,Cultural hub with good food,https://www.google.com/maps/search/?api=1&query=Teatro+Eskendria,Alexandria
78,Sea Gull,Seafood,Mixed seafood grill,Luxury,Seafood,4.5,Premium seaside dining,https://www.google.com/maps/search/?api=1&query=Sea+Gull,Alexandria
79,Barista,Cafe,"Coffee, Cheesecake",Affordable,Vegetarian,4.3,Trendy coffeehouse with cozy vibes,https://www.google.com/maps/search/?api=1&query=Barista,Alexandria
80,Chicken Tikka,Grill,"Tikka, Grilled Chicken",Mid-range,Halal,4.2,Family-friendly grill option,https://www.google.com/maps/search/?api=1&query=Chicken+Tikka,Alexandria
81,Kebdet El Prince - Alex Branch,Street Food,"Liver Sandwich, Sausage",Affordable,Halal,4.3,"Famous Cairo chain, now in Alex",https://www.google.com/maps/search/?api=1&query=Kebdet+El+Prince+-+Alex+Branch,Alexandria
82,Roastery,International,"Steak, Burgers",Luxury,Halal,4.4,Upscale restaurant with a great variety,https://www.google.com/maps/search/?api=1&query=Roastery,Alexandria
83,Costa Coffee - Alexandria,Cafe,"Coffee, Pastries",Mid-range,Vegetarian,4.2,Well-known chain café,https://www.google.com/maps/search/?api=1&query=Costa+Coffee+-+Alexandria,Alexandria
84,Fratelli,Italian,"Pizza, Risotto",Mid-range,Vegetarian,4.5,Cozy Italian spot with authentic flavors,https://www.google.com/maps/search/?api=1&query=Fratelli,Alexandria
85,Borg El Arab Restaurant,Egyptian,"Koshary, Mahshi",Affordable,Halal,4.3,Tasty traditional food near the stadium,https://www.google.com/maps/search/?api=1&query=Borg+El+Arab+Restaurant,Alexandria
86,Samakmak,Seafood,"Fried Fish, Shrimp Tajine",Mid-range,Seafood,4.4,Local favorite for seafood dishes,https://www.google.com/maps/search/?api=1&query=Samakmak,Alexandria
87,Tikka Grill,Grill,"Mixed Grill, Kebda",Luxury,Halal,4.6,Chic spot with great grill variety,https://www.google.com/maps/search/?api=1&query=Tikka+Grill,Alexandria
88,El Sheikh Wafiq,Traditional,"Stuffed Pigeon, Molokhia",Mid-range,Halal,4.3,Family-run with authentic taste,https://www.google.com/maps/search/?api=1&query=El+Sheikh+Wafiq,Alexandria
89,Sweet Center,Desserts,"Basbousa, Kunafa",Affordable,Vegetarian,4.7,Famous for oriental sweets,https://www.google.com/maps/search/?api=1&query=Sweet+Center,Alexandria
90,Zahran City,Fast Food,"Burgers, Chicken",Affordable,Halal,4.2,Popular for fast service and good taste,https://www.google.com/maps/search/?api=1&query=Zahran+City,Alexandria
91,El Forn,Bakery,"Feteer, Sambousak",Affordable,Vegetarian,4.4,Famous for fresh baked Egyptian goodies,https://www.google.com/maps/search/?api=1&query=El+Forn,Alexandria
92,Studio Misr - Alex,Grill,"Grilled Kofta, Rice",Mid-range,Halal,4.3,Good food with cinema-themed décor,https://www.google.com/maps/search/?api=1&query=Studio+Misr+-+Alex,Alexandria
93,Sabaya Express,Levantine,"Manakeesh, Shawarma",Mid-range,Halal,4.5,Quick and flavorful Middle Eastern bites,https://www.google.com/maps/search/?api=1&query=Sabaya+Express,Alexandria
94,Farouk El Fishawy,Egyptian,"Foul, Falafel",Affordable,"Halal, Vegan",4.6,Local breakfast gem with traditional vibes,https://www.google.com/maps/search/?api=1&query=Farouk+El+Fishawy,Alexandria
95,Kaddoura Station,Seafood,"Grilled Fish, Rice",Affordable,Seafood,4.5,Small hidden spot with delicious seafood,https://www.google.com/maps/search/?api=1&query=Kaddoura+Station,Alexandria
96,Trianon,Cafe,"Desserts, Coffee",Mid-range,Vegetarian,4.4,Old-world charm café known by locals,https://www.google.com/maps/search/?api=1&query=Trianon,Alexandria
97,El Fanar,Mediterranean,"Seafood Pasta, Mezzes",Mid-range,Seafood,4.5,Quiet seafood spot with a stunning view,https://www.google.com/maps/search/?api=1&query=El+Fanar,Alexandria
98,Selsela Restaurant,Grill,"Mixed Grill, Mahshi",Affordable,Halal,4.4,Friendly neighborhood grill joint,https://www.google.com/maps/search/?api=1&query=Selsela+Restaurant,Alexandria
99,Karkadeh Cafe,Cafe,"Herbal Drinks, Oriental Sweets",Affordable,Vegetarian,4.3,Artistic cafe with a relaxing atmosphere,https://www.google.com/maps/search/?api=1&query=Karkadeh+Cafe,Alexandria
100,Bakarat,Seafood,"Grilled Shrimp, Calamari",Affordable,Seafood,4.4,Underrated place with amazing fresh seafood,https://www.google.com/maps/search/?api=1&query=Bakarat,Alexandria
