Route_ID,From_Province,To_Province,Transport_Type,Avg_Price_EGP,Distance_KM,Avg_Duration_Hours,Frequency,Company_Name,Notes
1,Cairo,Giza,Taxi,1275,647,17.11,On Demand,Local Taxi,Taxi service between Cairo and Giza
2,Cairo,Alexandria,Taxi,467,225,6.11,On Demand,Local Taxi,Taxi service between Cairo and Alexandria
3,Cairo,Qalyubia,Metro,93,519,8.71,Every 10 mins,Cairo Metro Authority,Metro service between Cairo and Qalyubia
4,Cairo,Sharqia,Metro,43,167,2.76,Every 10 mins,Cairo Metro Authority,Metro service between Cairo and Sharqia
5,Cairo,Dakahlia,River Transport,499,635,22.93,Every 1-2 hours,Nile Transport Co.,River Transport service between Cairo and Dakahlia
6,Cairo,Beheira,Car Rental,912,602,12.75,On Demand,Sixt,Car Rental service between Cairo and Beheira
7,Cairo,Kafr El Sheikh,Metro,50,244,3.82,Every 10 mins,Cairo Metro Authority,Metro service between Cairo and Kafr El Sheikh
8,Cairo,Gharbia,Bus,349,828,24.98,Hourly,Go Bus,Bus service between Cairo and Gharbia
9,Cairo,Monufia,Metro,41,286,4.68,Every 10 mins,Cairo Metro Authority,Metro service between Cairo and Monufia
10,Cairo,Fayoum,Car Rental,188,112,2.89,On Demand,Sixt,Car Rental service between Cairo and Fayoum
11,Cairo,Beni Suef,Bus,180,451,13.99,Hourly,Go Bus,Bus service between Cairo and Beni Suef
12,Cairo,Minya,Metro,145,758,11.71,Every 10 mins,Cairo Metro Authority,Metro service between Cairo and Minya
13,Cairo,Assiut,Car Rental,346,228,5.12,On Demand,Sixt,Car Rental service between Cairo and Assiut
14,Cairo,Sohag,Car Rental,1033,685,14.26,On Demand,Avis,Car Rental service between Cairo and Sohag
15,Cairo,Qena,Bus,308,743,23.12,Hourly,Super Jet,Bus service between Cairo and Qena
16,Cairo,Luxor,Car Rental,176,108,2.95,On Demand,Sixt,Car Rental service between Cairo and Luxor
17,Cairo,Aswan,Bus,295,714,22.08,Hourly,Super Jet,Bus service between Cairo and Aswan
18,Cairo,Red Sea,Train,520,874,17.8,2-3 times daily,Egyptian Railways,Train service between Cairo and Red Sea
19,Cairo,New Valley,Taxi,419,214,5.96,On Demand,Careem,Taxi service between Cairo and New Valley
20,Cairo,Matrouh,Car Rental,950,643,13.68,On Demand,Budget,Car Rental service between Cairo and Matrouh
21,Cairo,North Sinai,Bus,353,879,26.76,Hourly,Go Bus,Bus service between Cairo and North Sinai
22,Cairo,South Sinai,Taxi,354,183,4.87,On Demand,Careem,Taxi service between Cairo and South Sinai
23,Cairo,Port Said,Metro,45,256,4.67,Every 10 mins,Cairo Metro Authority,Metro service between Cairo and Port Said
24,Cairo,Suez,Taxi,1533,767,20.17,On Demand,Local Taxi,Taxi service between Cairo and Suez
25,Cairo,Ismailia,Metro,102,557,9.19,Every 10 mins,Cairo Metro Authority,Metro service between Cairo and Ismailia
26,Cairo,Damietta,Bus,119,276,8.59,Hourly,Go Bus,Bus service between Cairo and Damietta
27,Giza,Cairo,Bus,217,577,17.66,Hourly,Super Jet,Bus service between Giza and Cairo
28,Giza,Alexandria,Train,152,284,5.9,2-3 times daily,Egyptian Railways,Train service between Giza and Alexandria
29,Giza,Qalyubia,Car Rental,341,228,5,On Demand,Avis,Car Rental service between Giza and Qalyubia
30,Giza,Sharqia,Metro,121,505,8.5,Every 10 mins,Cairo Metro Authority,Metro service between Giza and Sharqia
31,Giza,Dakahlia,Car Rental,479,323,7.24,On Demand,Budget,Car Rental service between Giza and Dakahlia
32,Giza,Beheira,Bus,306,752,23.2,Hourly,Super Jet,Bus service between Giza and Beheira
33,Giza,Kafr El Sheikh,Bus,136,299,9.7,Hourly,Super Jet,Bus service between Giza and Kafr El Sheikh
34,Giza,Gharbia,River Transport,340,450,16.6,Every 1-2 hours,Nile Transport Co.,River Transport service between Giza and Gharbia
35,Giza,Monufia,Metro,70,251,4.42,Every 10 mins,Cairo Metro Authority,Metro service between Giza and Monufia
36,Giza,Fayoum,Car Rental,956,624,12.67,On Demand,Avis,Car Rental service between Giza and Fayoum
37,Giza,Beni Suef,Metro,175,883,13.93,Every 10 mins,Cairo Metro Authority,Metro service between Giza and Beni Suef
38,Giza,Minya,Bus,146,371,11.91,Hourly,Super Jet,Bus service between Giza and Minya
39,Giza,Assiut,Train,158,290,6.35,2-3 times daily,Egyptian Railways,Train service between Giza and Assiut
40,Giza,Sohag,Taxi,409,208,6.02,On Demand,Careem,Taxi service between Giza and Sohag
41,Giza,Qena,River Transport,458,563,20.59,Every 1-2 hours,Nile Transport Co.,River Transport service between Giza and Qena
42,Giza,Luxor,Car Rental,756,507,10.33,On Demand,Sixt,Car Rental service between Giza and Luxor
43,Giza,Aswan,Metro,49,251,3.9,Every 10 mins,Cairo Metro Authority,Metro service between Giza and Aswan
44,Giza,Red Sea,Car Rental,578,383,8.61,On Demand,Budget,Car Rental service between Giza and Red Sea
45,Giza,New Valley,Car Rental,702,466,10.16,On Demand,Budget,Car Rental service between Giza and New Valley
46,Giza,Matrouh,River Transport,124,143,5.33,Every 1-2 hours,Nile Transport Co.,River Transport service between Giza and Matrouh
47,Giza,North Sinai,Bus,112,330,10.34,Hourly,Super Jet,Bus service between Giza and North Sinai
48,Giza,South Sinai,Car Rental,626,426,9.51,On Demand,Budget,Car Rental service between Giza and South Sinai
49,Giza,Port Said,Bus,251,601,18.86,Hourly,Super Jet,Bus service between Giza and Port Said
